Temperature,Vibration,Current,RPM,Fault
97.46,13.66,16.32,1250.17,2
64.67,4.02,6.74,1430.76,0
51.48,1.44,11.96,1374.81,0
74.05,4.42,14.99,1404.46,1
45.97,3.54,10.98,1383.61,0
51.98,3.89,7.75,1382.59,0
50.98,3.72,5.76,1494.19,0
63.69,1.17,11.43,1441.36,0
71.02,7.72,9.22,1388.48,1
46.73,3.52,10.95,1445.0,0
44.26,2.63,7.49,1402.07,0
86.48,12.28,23.92,1238.62,2
48.72,3.95,5.16,1354.27,0
91.98,9.25,23.91,1201.28,2
42.42,1.91,11.28,1496.95,0
76.63,8.42,8.27,1356.08,1
45.34,1.41,10.4,1420.34,0
42.81,3.88,9.16,1457.29,0
59.97,4.81,5.96,1496.8,0
45.62,3.06,8.37,1381.31,0
49.06,4.22,7.3,1381.36,0
52.46,4.61,9.32,1478.31,0
52.09,4.83,10.88,1491.24,0
67.88,6.43,13.52,1428.74,1
62.23,3.44,14.42,1375.06,1
40.64,4.7,10.96,1428.64,0
48.75,3.83,7.57,1433.29,0
57.76,1.61,10.1,1419.23,0
61.67,6.49,10.47,1322.41,1
52.39,1.43,7.42,1372.26,0
56.42,4.45,14.66,1426.54,1
59.55,1.91,5.9,1422.39,0
77.25,8.83,12.79,1321.09,1
81.31,4.46,12.4,1312.72,1
42.54,3.89,6.09,1416.53,0
53.14,1.93,10.66,1408.04,0
81.49,11.8,19.49,1302.15,2
51.67,2.93,10.89,1383.19,0
61.62,2.97,9.01,1435.41,0
68.81,7.96,11.38,1322.89,1
76.27,4.62,8.78,1280.03,1
102.69,10.14,24.25,1172.52,2
47.8,1.22,8.38,1473.27,0
49.83,1.47,6.58,1389.25,0
73.36,4.16,11.79,1395.92,1
64.31,3.48,11.56,1413.47,1
53.4,3.64,9.92,1370.51,0
62.97,3.31,9.94,1412.56,0
56.05,2.33,10.18,1455.8,0
42.84,1.02,12.0,1470.34,0
45.69,4.61,8.66,1472.32,0
58.39,2.08,7.47,1480.75,0
42.77,4.23,11.63,1360.85,0
59.1,3.53,10.72,1354.3,0
51.87,2.57,7.59,1474.64,0
43.82,3.84,7.68,1379.9,0
57.39,2.82,9.39,1437.65,0
41.97,4.89,11.56,1490.16,0
74.91,3.68,13.76,1365.05,1
98.37,12.32,24.26,1318.6,2
56.69,1.69,6.35,1356.13,0
48.14,4.49,9.19,1477.3,0
59.11,4.74,11.4,1370.62,0
64.62,4.12,8.33,1380.45,1
64.11,3.07,9.01,1449.92,0
44.2,4.27,6.13,1398.9,0
52.67,3.6,10.28,1433.16,0
83.45,3.55,9.29,1443.33,1
63.59,1.02,6.67,1490.77,0
83.61,7.77,11.26,1419.66,1
45.35,4.09,7.24,1376.27,0
70.65,7.31,15.17,1411.44,1
42.65,4.58,10.55,1462.63,0
52.43,2.24,8.96,1420.01,0
44.9,4.63,11.52,1357.78,0
48.54,3.3,6.09,1422.26,0
63.19,4.08,10.82,1369.96,0
56.8,4.05,6.66,1459.23,0
46.86,1.89,7.33,1402.97,0
81.58,3.0,13.5,1410.39,1
55.24,3.01,5.36,1391.8,0
49.97,4.3,5.5,1379.46,0
55.09,3.75,7.06,1440.42,0
44.34,2.52,10.61,1408.81,0
62.5,5.5,10.8,1426.0,1
84.99,8.98,12.44,1410.73,1
80.47,9.89,17.94,1167.16,2
73.24,6.6,8.99,1385.11,1
58.3,3.62,10.12,1464.34,0
48.12,4.34,10.33,1399.36,0
64.18,3.86,11.7,1414.07,0
50.39,2.0,9.65,1468.6,0
58.48,3.85,5.56,1485.99,0
46.5,2.16,6.31,1400.4,0
100.81,10.47,17.97,1176.93,2
63.36,2.41,5.71,1422.88,0
107.82,8.03,23.85,1114.63,2
102.55,12.39,24.09,1158.49,2
56.15,3.16,8.67,1354.39,1
54.95,1.5,11.85,1418.19,0
74.13,7.22,15.37,1418.06,1
99.09,10.55,24.39,1245.82,2
45.97,2.99,7.04,1427.41,0
109.35,13.7,18.15,1188.77,2
41.46,3.82,8.52,1351.7,0
108.45,12.07,15.72,1208.05,2
58.09,1.04,9.13,1441.99,0
46.17,3.44,11.27,1433.53,0
61.21,5.02,9.07,1292.61,1
72.23,7.0,14.22,1426.57,1
53.79,3.02,5.4,1363.16,0
44.68,2.96,10.59,1435.35,0
60.74,4.99,10.87,1433.62,0
54.95,1.73,6.99,1412.49,0
56.23,8.91,14.62,1409.48,1
59.22,1.36,10.44,1434.49,0
49.4,2.47,8.68,1471.32,0
46.91,3.27,8.16,1415.24,0
88.36,13.43,18.43,1238.09,2
42.97,1.59,6.3,1399.23,0
65.66,5.51,14.66,1295.4,1
42.26,4.21,10.63,1442.82,0
44.19,1.42,9.46,1455.97,0
79.54,14.27,21.91,1156.98,2
101.08,8.37,15.8,1250.68,2
49.64,2.36,8.79,1373.12,0
52.9,3.53,9.63,1350.19,0
79.12,6.32,12.16,1304.29,1
63.3,1.68,8.61,1373.66,0
55.27,2.64,10.88,1485.0,0
47.55,1.27,6.77,1379.68,0
81.84,12.62,24.17,1154.53,2
106.18,12.67,23.57,1118.74,2
63.61,7.06,13.95,1308.7,1
72.79,6.23,15.99,1373.06,1
70.18,5.27,15.03,1342.6,1
42.22,4.04,8.67,1396.0,0
49.66,3.85,11.91,1406.57,0
46.51,3.13,5.8,1490.27,0
54.33,4.94,7.04,1469.15,0
41.12,3.14,5.51,1470.29,0
47.94,2.75,9.27,1423.95,0
50.92,2.99,11.94,1360.33,0
74.33,6.9,14.93,1431.98,1
59.93,4.0,5.57,1454.6,0
99.22,9.76,24.1,1164.69,2
42.37,1.51,6.26,1380.55,0
74.12,4.54,14.27,1314.45,1
45.96,1.02,6.32,1350.61,0
48.45,2.57,11.04,1482.68,0
63.84,1.24,7.08,1394.71,0
41.63,2.86,11.36,1430.81,0
44.46,4.34,10.44,1463.37,0
52.68,4.62,5.39,1471.98,0
48.0,1.97,7.4,1469.5,0
49.66,1.77,11.75,1493.91,0
64.94,2.05,6.95,1489.6,0
58.69,4.65,10.28,1384.07,0
90.89,8.56,17.58,1151.25,2
82.46,13.24,17.04,1311.24,2
55.65,1.32,10.3,1465.26,0
42.28,1.82,5.22,1426.99,0
62.56,3.02,10.79,1398.01,0
53.66,1.25,11.17,1371.32,0
49.82,1.72,9.05,1493.7,0
59.49,2.01,10.81,1455.59,0
59.04,3.04,8.19,1437.62,0
52.22,3.58,11.43,1407.2,0
41.08,2.37,5.54,1408.94,0
62.47,5.79,15.73,1330.68,1
70.87,4.0,11.56,1437.14,1
56.23,3.98,9.08,1494.33,0
58.17,3.68,14.79,1321.55,1
50.58,1.5,9.72,1381.14,0
47.86,1.55,10.2,1481.98,0
69.27,4.8,14.65,1429.88,1
82.06,4.42,11.65,1311.36,1
52.39,1.85,8.16,1488.55,0
69.69,7.89,10.5,1347.6,1
53.35,1.95,10.21,1421.02,0
47.72,1.17,7.17,1358.99,0
52.86,3.39,5.23,1412.03,0
61.78,7.07,8.94,1295.26,1
49.09,2.49,11.95,1499.22,0
55.72,2.06,5.27,1418.34,0
63.66,1.42,7.39,1370.09,0
54.97,2.06,6.42,1391.07,0
43.03,3.24,6.86,1407.66,0
61.48,2.87,6.49,1490.19,0
41.41,1.41,8.02,1384.49,0
41.14,3.17,10.56,1441.56,0
47.33,1.37,6.6,1433.04,0
108.98,11.14,24.69,1168.38,2
46.82,1.32,5.95,1387.6,0
94.05,9.93,22.09,1159.73,2
60.02,2.19,8.45,1468.18,0
61.55,3.17,9.19,1416.76,0
46.87,1.13,7.94,1484.27,0
44.3,1.2,5.32,1378.07,0
50.23,2.18,5.38,1428.12,0
46.2,3.32,9.93,1471.93,0
64.67,2.5,7.59,1471.92,0
47.55,1.92,8.84,1399.09,0
54.84,3.01,5.91,1498.47,0
44.76,1.0,11.09,1464.74,0
48.66,1.98,9.58,1393.5,0
52.64,3.78,6.21,1477.89,0
41.54,1.83,8.4,1362.9,0
82.35,4.53,14.18,1325.13,1
106.44,10.22,24.63,1278.73,2
54.88,3.35,7.65,1462.47,0
58.31,4.97,6.82,1398.36,0
63.44,1.82,6.17,1377.28,0
59.4,2.95,6.57,1379.28,0
55.0,3.61,5.5,1352.66,0
60.18,4.59,10.52,1477.27,0
71.86,6.98,13.19,1341.88,1
58.02,3.9,9.78,1384.12,0
56.15,8.22,12.1,1347.7,1
60.95,4.9,12.14,1377.17,1
53.15,1.82,10.05,1413.24,0
66.84,6.88,9.2,1438.55,1
80.93,4.48,14.7,1308.78,1
75.36,8.33,11.59,1431.96,1
96.22,9.6,21.72,1235.99,2
61.04,1.93,6.31,1351.68,0
51.81,4.99,6.98,1409.12,0
55.37,2.04,7.65,1416.35,0
45.97,1.85,7.88,1455.6,0
80.51,6.85,14.67,1399.11,1
48.66,3.24,8.24,1418.97,0
47.83,1.42,8.92,1386.72,0
80.13,3.7,14.5,1375.91,1
46.11,4.69,8.9,1428.98,0
77.16,3.08,9.99,1316.45,1
51.49,3.77,5.02,1438.01,0
59.1,5.04,15.54,1365.49,1
55.24,1.36,9.87,1411.35,0
46.49,4.74,8.65,1376.02,0
41.74,3.37,9.22,1485.92,0
54.35,4.84,5.1,1386.04,0
64.85,4.48,8.26,1449.96,0
55.58,2.61,10.87,1422.35,0
43.78,4.97,11.1,1370.0,0
60.26,2.12,10.24,1474.86,0
50.18,1.39,11.63,1412.41,0
56.12,2.5,6.46,1458.05,0
42.6,4.45,11.46,1422.36,0
51.27,4.3,10.02,1487.04,0
63.82,3.5,10.02,1414.69,0
109.25,8.07,21.23,1190.82,2
64.87,5.44,15.25,1408.67,1
63.77,3.92,5.36,1482.64,0
78.52,6.12,14.86,1346.53,1
60.76,2.01,8.95,1410.81,0
42.36,3.78,10.07,1499.02,0
44.85,3.76,11.32,1374.56,0
45.82,2.76,8.94,1487.39,0
77.87,8.77,23.44,1124.11,2
60.44,1.39,9.76,1394.0,0
63.66,3.24,9.67,1366.93,0
53.41,4.77,9.86,1394.1,0
61.94,5.26,14.34,1369.77,1
62.0,2.7,10.06,1392.99,0
51.0,4.79,11.23,1448.93,0
56.06,1.98,5.76,1469.16,0
43.37,2.69,5.64,1389.49,0
47.39,4.89,11.84,1388.2,0
59.3,4.5,7.75,1471.71,0
90.26,11.01,21.78,1268.87,2
42.93,3.03,8.76,1451.37,0
100.75,8.11,23.8,1122.18,2
48.36,4.14,9.95,1468.29,0
54.91,2.1,5.56,1414.44,0
48.86,1.06,6.17,1400.3,0
70.06,7.48,11.96,1301.75,1
57.65,2.16,6.72,1398.64,0
61.3,3.92,9.89,1400.95,0
42.39,4.39,9.55,1373.68,0
42.25,3.25,5.8,1370.82,0
56.84,4.58,5.23,1471.87,0
57.64,3.8,10.98,1363.11,0
58.31,2.84,9.74,1430.74,0
64.98,1.34,8.98,1427.32,0
68.3,5.95,13.36,1317.61,1
42.6,2.2,11.99,1364.15,0
58.03,2.9,10.31,1422.98,0
94.97,13.56,22.05,1161.78,2
56.36,1.34,11.65,1366.04,0
69.79,8.08,12.81,1395.91,1
60.42,3.61,10.88,1491.67,0
64.16,1.45,5.74,1356.5,0
78.38,4.14,13.55,1382.45,1
61.74,4.56,8.14,1418.9,0
43.16,4.04,10.96,1388.55,0
48.11,3.53,5.31,1438.32,0
46.81,2.57,5.08,1495.37,0
48.73,1.65,6.61,1361.49,0
88.12,11.85,15.51,1193.75,2
56.34,2.55,9.53,1356.72,0
64.14,3.19,7.3,1364.32,0
79.08,6.26,9.2,1413.77,1
50.26,4.95,8.29,1388.46,0
59.08,3.99,8.57,1485.44,0
64.54,1.39,7.12,1445.73,0
50.98,1.65,10.26,1374.98,0
51.26,1.85,8.5,1458.04,0
79.37,6.44,9.52,1395.1,1
49.56,2.66,7.44,1385.31,0
53.49,1.73,8.07,1469.93,0
40.88,4.36,5.31,1485.93,0
75.29,8.85,22.33,1157.96,2
47.27,3.46,11.32,1494.34,0
41.14,4.73,9.4,1499.11,0
57.58,4.84,6.07,1479.41,0
59.43,1.63,5.86,1390.4,0
97.49,12.72,22.21,1157.31,2
57.67,4.16,6.36,1389.26,0
52.59,4.21,8.09,1423.59,0
60.96,3.03,14.52,1400.17,1
44.11,4.38,10.69,1421.47,0
44.88,3.82,10.41,1368.65,0
64.29,3.21,8.66,1298.62,1
49.53,1.64,5.26,1389.66,0
77.5,6.91,13.86,1294.95,1
47.74,4.9,7.88,1416.71,0
55.44,4.52,10.18,1419.26,0
58.04,1.24,10.32,1369.05,0
93.84,12.7,15.99,1183.73,2
61.26,8.58,8.93,1418.97,1
48.03,2.21,6.2,1480.23,0
99.26,10.84,18.9,1207.49,2
49.13,4.21,8.71,1452.67,0
64.12,3.49,11.15,1365.59,0
40.13,1.96,8.61,1457.04,0
75.54,7.32,8.38,1376.63,1
53.16,3.93,5.57,1359.05,0
45.84,4.85,9.56,1394.55,0
78.0,10.37,20.09,1250.92,2
62.86,1.8,10.75,1492.39,0
70.38,4.72,14.82,1381.46,1
49.93,2.35,8.99,1479.17,0
109.59,13.56,21.29,1214.41,2
92.51,9.59,15.03,1223.1,2
46.97,4.25,10.7,1453.71,0
56.08,3.65,7.47,1371.49,0
41.03,1.69,5.32,1420.29,0
77.94,6.44,15.65,1314.08,1
67.36,6.29,10.46,1356.54,1
56.55,3.03,5.89,1431.33,0
58.4,3.19,11.68,1377.47,0
70.22,5.89,10.72,1310.11,1
43.2,2.35,11.5,1383.69,0
79.42,6.11,15.29,1335.41,1
69.87,8.37,8.5,1435.79,1
68.5,6.19,11.43,1399.5,1
56.47,4.11,9.74,1422.27,0
48.48,3.29,8.13,1448.87,0
52.87,1.4,5.11,1494.55,0
50.32,4.58,7.52,1393.11,0
83.88,4.94,13.5,1323.87,1
64.5,4.96,15.34,1282.25,1
49.61,1.8,11.48,1457.15,0
56.07,2.53,11.7,1399.5,0
48.11,2.08,6.34,1454.2,0
60.51,4.21,9.3,1415.83,0
66.06,3.99,12.03,1390.86,1
46.36,1.09,11.63,1352.46,0
60.98,1.64,5.17,1417.36,0
69.91,5.77,13.12,1357.47,1
58.86,4.67,11.66,1436.57,0
64.43,3.96,8.16,1359.51,0
61.03,3.71,9.88,1430.39,0
49.34,2.53,11.77,1457.84,0
45.48,2.72,9.57,1459.07,0
62.77,4.29,11.65,1458.86,0
66.52,5.83,14.95,1350.52,1
60.19,4.41,8.1,1403.85,0
56.19,4.59,6.7,1489.06,0
57.42,3.52,11.14,1460.26,0
52.61,1.87,6.87,1375.59,0
46.93,2.8,7.69,1466.19,0
43.18,2.71,6.13,1455.05,0
44.05,4.71,7.79,1417.46,0
86.09,11.56,20.58,1227.47,2
48.76,3.57,6.52,1496.68,0
61.21,2.6,8.85,1456.01,0
42.37,2.33,7.61,1382.15,0
100.45,14.95,21.51,1147.84,2
88.45,8.27,15.31,1185.36,2
41.45,4.72,6.56,1499.95,0
55.6,3.11,7.98,1369.61,0
94.56,9.79,15.31,1173.99,2
62.2,2.32,9.33,1399.79,0
68.62,6.24,14.8,1361.62,1
50.52,4.85,6.92,1436.66,0
55.76,2.63,10.34,1368.74,0
71.76,4.39,9.06,1331.17,1
76.5,3.6,13.0,1299.21,1
50.55,3.8,9.53,1450.41,0
44.43,3.24,11.87,1427.75,0
47.61,3.1,8.02,1393.68,0
41.23,2.34,8.57,1429.85,0
54.27,3.37,10.43,1442.3,0
58.36,1.84,5.41,1432.85,0
83.41,6.61,9.24,1307.86,1
56.52,5.55,9.46,1283.66,1
46.19,1.25,8.21,1459.91,0
55.45,4.48,8.99,1354.56,0
44.04,2.49,10.93,1474.19,0
72.36,6.79,9.25,1360.57,1
44.14,3.41,11.06,1459.14,0
42.85,5.0,8.63,1486.49,0
80.16,7.8,10.1,1350.89,1
57.8,2.54,7.82,1467.49,0
52.14,3.17,10.36,1408.99,0
64.08,3.33,5.97,1431.89,0
40.87,2.04,6.95,1486.4,0
50.21,2.1,5.92,1472.87,0
64.3,7.31,9.56,1349.38,1
63.06,1.26,11.57,1354.22,0
78.56,13.84,18.82,1230.86,2
77.27,8.14,12.06,1386.19,1
40.43,4.6,11.46,1357.64,0
43.64,4.51,8.7,1420.09,0
62.74,3.68,10.81,1481.85,0
52.49,4.56,8.28,1379.35,0
52.62,4.0,10.62,1488.5,0
78.92,10.78,24.69,1290.41,2
54.84,1.66,5.86,1497.01,0
47.44,2.88,5.15,1468.4,0
64.56,1.24,8.42,1466.11,0
100.98,10.11,16.18,1287.7,2
49.16,4.46,7.26,1373.05,0
102.02,8.14,24.57,1270.6,2
42.69,2.09,7.82,1462.39,0
54.19,1.68,5.98,1443.47,0
46.49,2.82,7.6,1483.6,0
65.47,8.67,13.67,1351.71,1
55.27,3.75,9.92,1429.85,0
54.36,4.63,5.25,1473.98,0
61.9,3.11,5.63,1419.49,0
62.0,1.86,9.74,1441.16,0
46.07,1.67,9.15,1464.2,0
55.2,3.57,9.66,1405.78,0
60.21,3.38,8.84,1489.0,0
57.41,1.44,8.09,1471.35,0
49.91,3.18,9.09,1387.22,0
47.58,2.05,7.52,1363.15,0
51.15,4.1,7.57,1374.38,0
41.18,1.78,9.07,1467.92,0
67.32,5.1,8.99,1285.98,1
78.52,5.72,14.34,1422.57,1
85.52,11.1,22.55,1167.98,2
51.34,4.41,9.96,1354.94,0
53.48,1.92,10.5,1470.74,0
46.39,2.82,8.57,1396.33,0
75.92,7.29,11.69,1436.57,1
45.49,4.84,9.31,1433.53,0
72.47,8.31,9.69,1322.91,1
61.44,4.57,5.64,1494.78,0
59.82,8.86,10.52,1352.92,1
49.73,1.98,10.28,1445.92,0
50.35,4.27,7.71,1440.47,0
61.76,3.44,7.07,1396.68,0
40.48,1.08,8.35,1431.29,0
45.45,3.23,8.27,1436.37,0
52.62,4.02,5.13,1432.01,0
40.47,2.81,9.6,1371.37,0
48.22,3.88,9.51,1399.92,0
60.44,3.13,7.37,1448.69,0
82.92,3.52,14.4,1301.87,1
46.27,4.58,10.01,1445.93,0
67.15,3.23,8.39,1328.27,1
47.33,3.22,11.29,1394.27,0
63.06,2.76,10.86,1424.38,0
44.65,1.76,9.86,1410.99,0
42.21,3.96,6.54,1364.65,0
64.32,5.87,15.13,1417.05,1
77.79,13.88,23.29,1170.84,2
47.86,1.59,10.75,1417.32,0
61.47,2.28,7.02,1399.12,0
64.63,4.56,10.4,1411.73,0
42.54,2.16,9.03,1352.4,0
52.81,4.16,11.8,1403.82,0
44.46,3.05,10.7,1466.53,0
60.75,1.68,7.61,1440.05,0
55.6,1.77,6.04,1393.96,0
61.93,4.47,8.16,1352.3,0
81.34,8.47,22.41,1226.38,2
72.97,4.64,11.8,1349.41,1
43.75,4.03,8.97,1408.0,0
50.43,4.64,8.77,1403.06,0
48.52,3.9,9.78,1442.86,0
52.35,1.65,11.13,1489.84,0
53.27,4.9,8.75,1417.16,0
43.12,2.91,10.51,1481.31,0
43.27,1.67,6.39,1466.09,0
60.32,4.32,10.52,1413.99,1
56.19,1.4,5.29,1479.24,0
57.76,4.64,10.89,1426.67,0
59.89,4.63,8.35,1341.95,1
78.72,4.76,14.93,1402.85,1
55.09,4.72,10.95,1360.15,0
58.42,2.81,11.92,1358.21,0
64.61,3.17,9.64,1391.82,0
95.76,12.38,19.34,1175.3,2
56.84,4.88,9.59,1383.66,0
55.61,6.78,11.49,1357.63,1
50.32,1.91,9.09,1405.72,0
56.73,3.84,13.73,1354.34,1
46.42,2.03,9.08,1401.22,0
57.76,2.54,11.39,1431.04,0
59.43,1.88,10.64,1451.1,0
47.02,3.65,11.87,1444.01,0
57.23,6.47,10.48,1366.44,1
42.7,1.51,8.24,1459.64,0
63.77,3.93,9.19,1373.4,0
62.12,3.46,8.0,1377.35,0
56.16,4.9,10.93,1353.54,0
40.48,2.04,10.32,1370.57,0
81.42,9.22,19.8,1120.28,2
46.23,2.26,7.26,1493.31,0
42.04,1.54,6.09,1444.56,0
40.09,3.45,5.21,1425.62,0
64.29,2.33,8.37,1379.41,0
75.12,8.37,8.46,1381.48,1
49.98,1.9,6.55,1367.85,0
45.13,2.78,9.74,1466.63,0
64.84,2.34,6.79,1403.09,0
60.37,3.15,11.1,1470.25,0
42.36,3.33,5.36,1400.54,0
47.09,2.45,9.52,1435.62,0
48.29,2.84,11.69,1397.01,0
62.73,4.83,5.54,1429.85,0
41.05,4.05,9.01,1472.23,0
54.61,3.43,5.44,1410.35,0
104.87,10.72,24.14,1175.38,2
55.5,2.61,7.02,1471.4,0
40.86,2.99,6.08,1377.44,0
57.02,2.36,7.53,1397.14,0
80.3,5.91,10.67,1414.56,1
55.03,4.99,5.37,1466.77,0
77.96,8.48,20.96,1259.0,2
48.63,2.34,11.85,1478.48,0
55.17,4.21,5.93,1447.83,0
53.66,3.81,12.0,1415.29,0
49.39,3.31,8.07,1352.6,0
68.3,3.16,13.68,1430.42,1
52.91,1.15,11.7,1376.14,0
72.85,4.95,8.2,1407.53,1
49.31,2.82,6.24,1445.1,0
58.9,1.66,5.45,1475.4,0
59.94,3.84,8.69,1427.18,0
44.83,4.24,5.44,1475.2,0
50.63,1.45,10.52,1369.24,0
57.47,2.82,8.72,1371.96,0
40.13,2.12,9.24,1456.75,0
42.25,4.14,7.27,1450.17,0
50.3,1.14,8.49,1433.13,0
44.55,4.16,9.61,1424.73,0
44.91,1.84,11.95,1435.62,0
61.76,1.59,10.89,1391.59,0
51.41,2.64,10.85,1407.1,0
90.09,10.43,15.5,1111.61,2
53.39,4.98,8.11,1432.69,0
74.4,3.17,15.59,1426.36,1
64.82,3.49,5.25,1352.59,0
100.92,9.99,18.79,1143.87,2
45.68,2.33,5.22,1441.19,0
49.77,3.38,8.48,1498.17,0
64.89,4.09,6.75,1360.12,0
46.05,1.68,10.42,1369.46,0
90.2,9.05,19.66,1249.39,2
52.65,3.77,6.45,1451.78,0
43.51,4.16,6.6,1435.36,0
54.23,4.47,9.08,1457.7,0
42.41,1.39,11.62,1490.41,0
42.4,4.81,11.08,1359.84,0
44.23,4.91,10.97,1424.75,0
49.41,4.24,11.91,1372.56,0
52.64,3.48,11.26,1378.84,0
63.08,3.76,5.89,1403.51,0
99.26,8.5,16.89,1269.69,2
46.41,2.0,9.31,1472.25,0
56.86,4.92,11.9,1453.0,0
50.74,3.51,10.77,1401.12,0
50.99,1.27,8.25,1473.11,0
61.33,8.05,8.24,1423.45,1
64.07,4.18,9.91,1359.04,0
56.54,7.8,12.19,1356.4,1
79.07,7.03,9.57,1361.65,1
81.59,6.25,8.98,1394.21,1
61.52,3.64,12.92,1419.79,1
40.94,2.27,8.31,1361.14,0
64.78,7.23,11.48,1419.15,1
106.55,9.89,23.04,1319.03,2
59.55,3.78,11.92,1426.55,0
46.18,2.04,11.13,1427.27,0
54.75,3.96,7.23,1365.71,0
59.39,3.28,10.32,1372.48,0
52.38,1.14,11.37,1388.82,0
60.05,1.28,9.33,1355.36,0
66.32,3.96,14.4,1336.56,1
47.34,4.91,8.06,1420.78,0
51.52,4.06,8.52,1419.46,0
61.25,3.83,11.08,1356.96,0
109.76,8.31,22.61,1181.78,2
56.73,1.63,8.17,1410.12,0
42.59,4.25,5.27,1448.84,0
49.48,3.17,8.29,1357.22,0
62.32,3.67,11.05,1493.47,0
45.24,2.82,11.36,1365.67,0
52.08,1.75,9.93,1362.06,0
61.95,3.4,9.35,1474.3,0
48.79,1.25,11.9,1354.73,0
58.11,1.17,8.4,1469.45,0
57.35,7.32,10.78,1449.12,1
54.33,4.38,11.54,1390.34,0
55.67,1.58,10.76,1385.25,0
66.3,5.07,14.65,1320.39,1
99.26,9.06,24.69,1180.39,2
48.7,1.68,6.57,1350.95,0
59.03,1.05,11.78,1378.59,0
57.88,3.94,11.98,1465.33,0
45.12,2.39,7.84,1491.69,0
94.04,10.92,23.6,1313.34,2
84.4,8.73,14.82,1423.97,1
43.99,4.16,9.31,1356.73,0
51.31,3.67,11.14,1374.79,0
87.3,14.9,18.05,1123.96,2
41.76,4.64,6.33,1473.19,0
43.17,4.45,10.92,1402.17,0
42.84,4.7,11.14,1388.69,0
81.79,4.71,13.49,1293.23,1
54.86,3.58,9.95,1473.35,0
44.62,1.92,6.84,1384.53,0
55.72,1.05,9.98,1440.46,0
74.36,3.72,10.43,1404.71,1
42.8,4.44,7.54,1382.79,0
46.24,2.5,6.28,1431.79,0
51.15,4.74,9.61,1481.29,0
76.06,4.98,14.65,1362.85,1
92.74,10.87,23.11,1283.88,2
58.65,1.66,6.67,1386.38,0
56.43,4.98,9.56,1441.0,0
54.33,2.3,11.89,1365.67,0
54.42,4.65,10.9,1438.02,0
45.93,4.1,6.68,1459.37,0
65.93,3.96,11.23,1374.4,1
58.35,2.1,11.44,1392.08,0
51.92,2.25,5.02,1464.67,0
80.62,4.03,10.17,1328.56,1
69.43,7.64,15.27,1312.2,1
